id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19798020,Appartement ensoleillé à Anvers (Wilrijk),139823903,Bella,,Oosterveld - Elsdonk,51.17776,4.42129,Private room,60,2,13,2018-10-04,0.27,1,364
19815144,Nice apartment in a townhouse in the centre.,109618168,Chantal & Christian,,Stuivenberg,51.2184,4.43074,Entire home/apt,76,2,29,2021-07-04,0.62,3,209
19861514,Trendy Antwerp,38686040,Kris,,Historisch Centrum,51.21862,4.40181,Entire home/apt,49,2,186,2020-07-07,3.88,1,65
19929145,Magnificent Flat In The Heart Of Antwerp,15355391,Alexander,,Historisch Centrum,51.2189,4.40487,Entire home/apt,119,7,17,2020-07-26,0.51,1,298
19964758,Charming bedroom with double bed in Antwerp,28304166,Vassili,,Oosterveld - Elsdonk,51.17242,4.42791,Private room,45,1,12,2021-03-24,0.25,2,62
19989893,Brand new cottage in a vibrant area.,27223858,Veerle,,Haringrode,51.20164,4.41525,Entire home/apt,70,90,149,2021-02-08,3.10,1,45
19997718,Private cozy STUDIO,51220436,Jose,,Groenenhoek,51.19999,4.44063,Entire home/apt,27,4,63,2018-12-07,1.53,1,58
20048639,Beautiful recently renovated private DUPLEX,129602404,Marlies,,Theaterbuurt-Meir,51.21063,4.40595,Entire home/apt,119,1,57,2019-12-01,1.30,1,173
20087301,Design room in the city centre of Antwerp,142823788,Dirk,,Historisch Centrum,51.21958,4.40435,Private room,46,1,226,2021-06-19,4.88,2,140
20131004,Charming quiet room in house,4851422,Ann,,Kiel,51.18326,4.38448,Private room,35,4,8,2020-09-06,0.22,2,173
20168816,Elegant design room in the city centre of Antwerp,142823788,Dirk,,Historisch Centrum,51.21948,4.40428,Private room,49,1,245,2019-09-23,5.19,2,156
20180851,Room in mid century apartment,511187,Julie,,Harmonie,51.19948,4.41057,Private room,40,1,28,2019-07-10,0.61,2,66
20220174,Smartflats Old Town 301 - 1 Bed Terrace - Meir,2792958,Alex,,Theaterbuurt-Meir,51.21776,4.40463,Entire home/apt,180,1,34,2019-05-26,1.05,29,295
20221733,Smartflats Rubens 201 - 3 Bed Terrace - Meir area,2792958,Alex,,Theaterbuurt-Meir,51.21537,4.40643,Entire home/apt,250,1,72,2019-07-18,1.87,29,276
20222121,Charming Sunny Studio Antwerp City South District,80891301,Erika,,Theaterbuurt-Meir,51.21128,4.40494,Entire home/apt,54,1,4,2017-09-14,0.11,3,13
20222242,Smartflats Rubens 301 - 2 Bed Terrace - Meir area,2792958,Alex,,Theaterbuurt-Meir,51.21747,4.40656,Entire home/apt,225,1,13,2020-07-27,0.34,29,293
20222569,Smartflats Rubens 401 - 2Bed Duplex Terrace - Meir,2792958,Alex,,Theaterbuurt-Meir,51.21598,4.405,Entire home/apt,225,1,16,2019-12-31,0.41,29,300
20231202,sint-jansplein,144150870,Ia,,Amandus - Atheneum,51.22478,4.41899,Entire home/apt,55,1,79,2019-11-24,1.70,3,122
20263685,Gezellige studio op een TOP locatie,135610682,Leentje,,Historisch Centrum,51.22116,4.40267,Entire home/apt,50,2,225,2020-06-22,4.96,4,310
20312418,Smartflats Antwerp Central 201 - 2 Bedrooms - Meir,2792958,Alex,,Centraal Station,51.21899,4.41818,Entire home/apt,205,1,5,2019-05-12,0.21,29,305
20312581,Smartflats Antwerp Central 202 - 2 Bedrooms - Meir,2792958,Alex,,Centraal Station,51.21738,4.41763,Entire home/apt,205,1,7,2020-02-08,0.15,29,314
20312705,Smartflats Antwerp Central 301 - 2 Bedrooms - Meir,2792958,Alex,,Centraal Station,51.21821,4.41671,Entire home/apt,205,1,25,2019-05-23,0.53,29,268
20313135,Smartflats Antwerp Central 402 - 2 Bedrooms - Meir,2792958,Alex,,Stadspark,51.2171,4.41598,Entire home/apt,205,1,7,2018-11-15,0.15,29,322
20313261,Smartflats Antwerp Central 501 - 2 Bedrooms - Meir,2792958,Alex,,Centraal Station,51.21768,4.41779,Entire home/apt,205,1,13,2021-01-02,0.41,29,282
20313546,Smartflats Antwerp Central 602 -2Bed Terrace -Meir,2792958,Alex,,Centraal Station,51.21859,4.41747,Entire home/apt,210,1,14,2021-04-27,0.60,29,324
20318096,Warm welcoming place!,15529473,Liesbeth,,Stuivenberg,51.21875,4.43234,Private room,38,1,77,2018-09-10,1.62,1,0
20406122,Cosy top floor studio with private shower+toilet,1034658,Lenny,,Borgerhout Intra Muros Noord,51.21871,4.43574,Private room,39,2,51,2019-09-28,1.16,1,45
20436760,CozyAntwerp,127397790,Chaninat,,Theaterbuurt-Meir,51.21846,4.41464,Entire home/apt,55,5,14,2018-11-25,0.30,1,75
20659049,cozy modern/retro appartement,20529840,Hannah,,Borgerhout Intra Muros Noord,51.21926,4.44505,Private room,40,1,103,2019-04-24,2.34,1,16
20676903,"Mooie kamer met keuken, badkamer en privé terras",77953413,Stefan En Eva,,Borgerhout Intra Muros Zuid,51.20946,4.43406,Private room,29,4,24,2018-09-02,0.51,2,2
20781256,GRAND HISTORICAL TOWNHOUSE in trendy fashion area,116955185,Elly,,Theaterbuurt-Meir,51.21248,4.40477,Entire home/apt,480,4,9,2019-09-29,0.28,1,263
20796226,Lovely apartment in Antwerp centre,65855928,Dries,,Stadspark,51.20854,4.41055,Entire home/apt,71,5,77,2019-06-26,1.78,5,104
20825768,beautiful city view purple apartment,110993942,Rev,,Amandus - Atheneum,51.21885,4.4225,Entire home/apt,115,2,12,2019-05-20,0.26,16,359
